2024,2025,2026,2027,2028,2029,2030,2031
UFV SOL DE JANA 9,UFV FUTURO III,UFV BOCA DO RIACHO 7,UFV PARATINGA II,UFV PARATINGA II,UFV PARATINGA II,UFV PARATINGA II,UFV PARATINGA II
UFV PARQUE SOLAR PIRAPORA 1,UFV FUTURO IV,UFV BOCA DO RIACHO 8,UFV PARATINGA III,UFV PARATINGA III,UFV PARATINGA III,UFV PARATINGA III,UFV PARATINGA III
UFV PARQUE SOLAR PIRAPORA 2,UFV FUTURO V,UFV BOCA DO RIACHO 9,UFV PARATINGA IV,UFV PARATINGA IV,UFV PARATINGA IV,UFV PARATINGA IV,UFV PARATINGA IV
UFV PARQUE SOLAR PIRAPORA 3,UFV GOLD SOLAR,UFV CHATEAU FORT 1,UFV PARQUE SOLAR PIRAPORA 1,UFV PARQUE SOLAR PIRAPORA 1,UFV PARQUE SOLAR PIRAPORA 1,UFV PARQUE SOLAR PIRAPORA 1,UFV PARQUE SOLAR PIRAPORA 1
UFV PARQUE SOLAR PIRAPORA 4,UFV MALHADA I,UFV CHATEAU FORT 10,UFV PARQUE SOLAR PIRAPORA 10,UFV PARQUE SOLAR PIRAPORA 10,UFV PARQUE SOLAR PIRAPORA 10,UFV PARQUE SOLAR PIRAPORA 10,UFV PARQUE SOLAR PIRAPORA 10
UFV PARQUE SOLAR PIRAPORA 5,UFV MALHADA III,UFV CHATEAU FORT 2,UFV PARQUE SOLAR PIRAPORA 2,UFV PARQUE SOLAR PIRAPORA 2,UFV PARQUE SOLAR PIRAPORA 2,UFV PARQUE SOLAR PIRAPORA 2,UFV PARQUE SOLAR PIRAPORA 2
UFV PARQUE SOLAR PIRAPORA 6,UFV NOVA SERGIPE 1,UFV CHATEAU FORT 3,UFV PARQUE SOLAR PIRAPORA 3,UFV PARQUE SOLAR PIRAPORA 3,UFV PARQUE SOLAR PIRAPORA 3,UFV PARQUE SOLAR PIRAPORA 3,UFV PARQUE SOLAR PIRAPORA 3
UFV PARQUE SOLAR PIRAPORA 7,UFV NOVA SERGIPE 2,UFV CHATEAU FORT 4,UFV PARQUE SOLAR PIRAPORA 4,UFV PARQUE SOLAR PIRAPORA 4,UFV PARQUE SOLAR PIRAPORA 4,UFV PARQUE SOLAR PIRAPORA 4,UFV PARQUE SOLAR PIRAPORA 4
UFV PARQUE SOLAR PIRAPORA 8,UFV NOVA SERGIPE 3,UFV CHATEAU FORT 5,UFV PARQUE SOLAR PIRAPORA 5,UFV PARQUE SOLAR PIRAPORA 5,UFV PARQUE SOLAR PIRAPORA 5,UFV PARQUE SOLAR PIRAPORA 5,UFV PARQUE SOLAR PIRAPORA 5
UFV PARQUE SOLAR PIRAPORA 9,UFV NOVA SERGIPE 4,UFV CHATEAU FORT 6,UFV PARQUE SOLAR PIRAPORA 6,UFV PARQUE SOLAR PIRAPORA 6,UFV PARQUE SOLAR PIRAPORA 6,UFV PARQUE SOLAR PIRAPORA 6,UFV PARQUE SOLAR PIRAPORA 6
UFV PARQUE SOLAR PIRAPORA 10,UFV NOVA SERGIPE 5,UFV CHATEAU FORT 7,UFV PARQUE SOLAR PIRAPORA 7,UFV PARQUE SOLAR PIRAPORA 7,UFV PARQUE SOLAR PIRAPORA 7,UFV PARQUE SOLAR PIRAPORA 7,UFV PARQUE SOLAR PIRAPORA 7
UFV GS LASSANCE SOLAR 01,UFV NOVA SERGIPE 6,UFV CHATEAU FORT 8,UFV PARQUE SOLAR PIRAPORA 8,UFV PARQUE SOLAR PIRAPORA 8,UFV PARQUE SOLAR PIRAPORA 8,UFV PARQUE SOLAR PIRAPORA 8,UFV PARQUE SOLAR PIRAPORA 8
UFV GS LASSANCE SOLAR 02,UFV NOVA SERGIPE 7,UFV CHATEAU FORT 9,UFV PARQUE SOLAR PIRAPORA 9,UFV PARQUE SOLAR PIRAPORA 9,UFV PARQUE SOLAR PIRAPORA 9,UFV PARQUE SOLAR PIRAPORA 9,UFV PARQUE SOLAR PIRAPORA 9
UFV GS LASSANCE SOLAR 03,UFV NOVA SERGIPE 8,UFV CURRALINHO I,UFV PRESIDENTE JK 01,UFV PRESIDENTE JK 01,UFV PRESIDENTE JK 01,UFV PRESIDENTE JK 01,UFV PRESIDENTE JK 01
UFV GS LASSANCE SOLAR 04,UFV NOVO LAPA MP 1,UFV CURRALINHO II,UFV PRESIDENTE JK 02,UFV PRESIDENTE JK 02,UFV PRESIDENTE JK 02,UFV PRESIDENTE JK 02,UFV PRESIDENTE JK 02
UFV GS LASSANCE SOLAR 05,UFV NOVO LAPA MP 2,UFV FOTONS DE SAO MAGNO 01,UFV PRESIDENTE JK 03,UFV PRESIDENTE JK 03,UFV PRESIDENTE JK 03,UFV PRESIDENTE JK 03,UFV PRESIDENTE JK 03
UFV GS LASSANCE SOLAR 06,UFV NOVO LAPA MP 3,UFV FOTONS DE SAO MAGNO 02,UFV PRESIDENTE JK 04,UFV PRESIDENTE JK 04,UFV PRESIDENTE JK 04,UFV PRESIDENTE JK 04,UFV PRESIDENTE JK 04
UFV GS LASSANCE SOLAR 07,UFV NOVO LAPA MP 4,UFV FOTONS DE SAO MAGNO 03,UFV PRESIDENTE JK 05,UFV PRESIDENTE JK 05,UFV PRESIDENTE JK 05,UFV PRESIDENTE JK 05,UFV PRESIDENTE JK 05
UFV GS LASSANCE SOLAR 08,UFV NOVO LAPA MP 5,UFV FOTONS DE SAO MAGNO 04,UFV PRESIDENTE JK 06,UFV PRESIDENTE JK 06,UFV PRESIDENTE JK 06,UFV PRESIDENTE JK 06,UFV PRESIDENTE JK 06
UFV GS LASSANCE SOLAR 09,UFV NOVO LAPA MP 6,UFV FOTONS DE SAO MAGNO 05,UFV PRESIDENTE JK 07,UFV PRESIDENTE JK 07,UFV PRESIDENTE JK 07,UFV PRESIDENTE JK 07,UFV PRESIDENTE JK 07
UFV FOTONS DE SAO CLAUS 01,UFV NOVO LAPA MP 7,UFV FOTONS DE SAO MAGNO 06,UFV PRESIDENTE JK 08,UFV PRESIDENTE JK 08,UFV PRESIDENTE JK 08,UFV PRESIDENTE JK 08,UFV PRESIDENTE JK 08
UFV FOTONS DE SAO CLAUS 02,UFV NOVO LAPA MP 8,UFV FOTONS DE SAO MAGNO 07,UFV PRESIDENTE JK 09,UFV PRESIDENTE JK 09,UFV PRESIDENTE JK 09,UFV PRESIDENTE JK 09,UFV PRESIDENTE JK 09
UFV FOTONS DE SAO CLAUS 03,UFV SAO JOAO DO PIAUI I,UFV FOTONS DE SAO MAGNO 08,UFV PRESIDENTE JK 10,UFV PRESIDENTE JK 10,UFV PRESIDENTE JK 10,UFV PRESIDENTE JK 10,UFV PRESIDENTE JK 10
UFV FOTONS DE SAO CLAUS 04,UFV SAO JOAO DO PIAUI II,UFV FUTURO II,UFV PRESIDENTE JK 11,UFV PRESIDENTE JK 11,UFV PRESIDENTE JK 11,UFV PRESIDENTE JK 11,UFV PRESIDENTE JK 11
UFV FOTONS DE SAO CLAUS 05,UFV SAO JOAO DO PIAUI III,UFV FUTURO III,UFV PRESIDENTE JK 12,UFV PRESIDENTE JK 12,UFV PRESIDENTE JK 12,UFV PRESIDENTE JK 12,UFV PRESIDENTE JK 12
UFV FOTONS DE SAO CLAUS 06,UFV VEA II 1,UFV FUTURO IV,UFV PRESIDENTE JUSCELINO I,UFV PRESIDENTE JUSCELINO I,UFV PRESIDENTE JUSCELINO I,UFV PRESIDENTE JUSCELINO I,UFV PRESIDENTE JUSCELINO I
UFV FOTONS DE SAO CLAUS 07,UFV VEA II 2,UFV FUTURO V,UFV PRESIDENTE JUSCELINO II,UFV PRESIDENTE JUSCELINO II,UFV PRESIDENTE JUSCELINO II,UFV PRESIDENTE JUSCELINO II,UFV PRESIDENTE JUSCELINO II
UFV NOVA ESPERANCA 1,UFV VEA II 3,UFV GOLD SOLAR,UFV QUIXADA 1,UFV QUIXADA 1,UFV QUIXADA 1,UFV QUIXADA 1,UFV QUIXADA 1
UFV NOVA ESPERANCA 2,UFV VEA II 4,UFV MALHADA I,UFV QUIXADA 2,UFV QUIXADA 2,UFV QUIXADA 2,UFV QUIXADA 2,UFV QUIXADA 2
UFV NOVA ESPERANCA 3,UFV VEA II 5,UFV MALHADA III,UFV RAIOS DE SAO FRANCISCO V,UFV RAIOS DE SAO FRANCISCO V,UFV RAIOS DE SAO FRANCISCO V,UFV RAIOS DE SAO FRANCISCO V,UFV RAIOS DE SAO FRANCISCO V
UFV RAIOS DE SAO FRANCISCO V,UFV VEA II 6,UFV NOVA SERGIPE 1,UFV RAIOS DE SAO FRANCISCO VI,UFV RAIOS DE SAO FRANCISCO VI,UFV RAIOS DE SAO FRANCISCO VI,UFV RAIOS DE SAO FRANCISCO VI,UFV RAIOS DE SAO FRANCISCO VI
UFV RAIOS DE SAO FRANCISCO VI,UFV VEA II 7,UFV NOVA SERGIPE 2,UFV RAIOS DO PARNAIBA IV,UFV RAIOS DO PARNAIBA IV,UFV RAIOS DO PARNAIBA IV,UFV RAIOS DO PARNAIBA IV,UFV RAIOS DO PARNAIBA IV
UFV CANOA GRANDE IV,UFV VEA II 8,UFV NOVA SERGIPE 3,UFV RAIOS DO PARNAIBA X,UFV RAIOS DO PARNAIBA X,UFV RAIOS DO PARNAIBA X,UFV RAIOS DO PARNAIBA X,UFV RAIOS DO PARNAIBA X
UFV CANOA GRANDE IX,UFV VEA II 9,UFV NOVA SERGIPE 4,UFV RAIOS DO POETA I,UFV RAIOS DO POETA I,UFV RAIOS DO POETA I,UFV RAIOS DO POETA I,UFV RAIOS DO POETA I
UFV CANOA GRANDE X,UFV VEA II 10,UFV NOVA SERGIPE 5,UFV RAIOS DO POETA II,UFV RAIOS DO POETA II,UFV RAIOS DO POETA II,UFV RAIOS DO POETA II,UFV RAIOS DO POETA II
UFV CANOA GRANDE XI,UFV VEA II 11,UFV NOVA SERGIPE 6,UFV RIBEIRO GONCALVES V,UFV RIBEIRO GONCALVES V,UFV RIBEIRO GONCALVES V,UFV RIBEIRO GONCALVES V,UFV RIBEIRO GONCALVES V
UFV SOL DO AGRESTE III,UFV QUIXADA 1,UFV NOVA SERGIPE 7,UFV SAO JOAO DO PIAUI I,UFV SAO JOAO DO PIAUI I,UFV SAO JOAO DO PIAUI I,UFV SAO JOAO DO PIAUI I,UFV SAO JOAO DO PIAUI I
UFV SOL DO AGRESTE IV,UFV QUIXADA 2,UFV NOVA SERGIPE 8,UFV SAO JOAO DO PIAUI II,UFV SAO JOAO DO PIAUI II,UFV SAO JOAO DO PIAUI II,UFV SAO JOAO DO PIAUI II,UFV SAO JOAO DO PIAUI II
UFV SOL DO AGRESTE V,UFV SOL DO AGRESTE I,UFV NOVO LAPA MP 1,UFV SAO JOAO DO PIAUI III,UFV SAO JOAO DO PIAUI III,UFV SAO JOAO DO PIAUI III,UFV SAO JOAO DO PIAUI III,UFV SAO JOAO DO PIAUI III
UFV HELIOS 1,UFV SOL DO AGRESTE II,UFV NOVO LAPA MP 2,UFV SERRA DO MEL IX,UFV SERRA DO MEL IX,UFV SERRA DO MEL IX,UFV SERRA DO MEL IX,UFV SERRA DO MEL IX
UFV HELIOS 2,UFV SOL DE JANA 1,UFV NOVO LAPA MP 3,UFV SERRA DO MEL VIII,UFV SERRA DO MEL VIII,UFV SERRA DO MEL VIII,UFV SERRA DO MEL VIII,UFV SERRA DO MEL VIII
UFV SOLAR SAO SIMAO,UFV SOL DE JANA 10,UFV NOVO LAPA MP 4,UFV SERRA DO MEL X,UFV SERRA DO MEL X,UFV SERRA DO MEL X,UFV SERRA DO MEL X,UFV SERRA DO MEL X
UFV SOLAR DAS LARANJEIRAS 1,UFV SOL DE JANA 11,UFV NOVO LAPA MP 5,UFV SKY ARINOS I,UFV SKY ARINOS I,UFV SKY ARINOS I,UFV SKY ARINOS I,UFV SKY ARINOS I
UFV SOLAR DAS LARANJEIRAS 2,UFV SOL DE JANA 12,UFV NOVO LAPA MP 6,UFV SKY ARINOS II,UFV SKY ARINOS II,UFV SKY ARINOS II,UFV SKY ARINOS II,UFV SKY ARINOS II
UFV SOLAR DAS LARANJEIRAS 3,UFV SOL DE JANA 13,UFV NOVO LAPA MP 7,UFV SKY ARINOS III,UFV SKY ARINOS III,UFV SKY ARINOS III,UFV SKY ARINOS III,UFV SKY ARINOS III
UFV SOLAR DAS LARANJEIRAS 4,UFV SOL DE JANA 2,UFV NOVO LAPA MP 8,UFV SKY ARINOS IV,UFV SKY ARINOS IV,UFV SKY ARINOS IV,UFV SKY ARINOS IV,UFV SKY ARINOS IV
UFV SOLAR DAS LARANJEIRAS 5,UFV SOL DE JANA 3,UFV SAO JOAO DO PIAUI I,UFV SKY ARINOS V,UFV SKY ARINOS V,UFV SKY ARINOS V,UFV SKY ARINOS V,UFV SKY ARINOS V
UFV SOLAR DAS LARANJEIRAS 6,UFV SOL DE JANA 4,UFV SAO JOAO DO PIAUI II,UFV SKY ARINOS VI,UFV SKY ARINOS VI,UFV SKY ARINOS VI,UFV SKY ARINOS VI,UFV SKY ARINOS VI
UFV SOLAR DAS LARANJEIRAS 7,UFV SOL DE JANA 5,UFV SAO JOAO DO PIAUI III,UFV SKY ARINOS VII,UFV SKY ARINOS VII,UFV SKY ARINOS VII,UFV SKY ARINOS VII,UFV SKY ARINOS VII
UFV CUMARU SOLAR 01,UFV SOL DE JANA 6,UFV VEA II 1,UFV SKY ARINOS VIII,UFV SKY ARINOS VIII,UFV SKY ARINOS VIII,UFV SKY ARINOS VIII,UFV SKY ARINOS VIII
UFV CUMARU SOLAR 02,UFV SOL DE JANA 7,UFV VEA II 2,UFV SKY SAO MAMEDE I,UFV SKY SAO MAMEDE I,UFV SKY SAO MAMEDE I,UFV SKY SAO MAMEDE I,UFV SKY SAO MAMEDE I
UFV MORRO PRETO 1,UFV SOL DE JANA 8,UFV VEA II 3,UFV SKY SAO MAMEDE II,UFV SKY SAO MAMEDE II,UFV SKY SAO MAMEDE II,UFV SKY SAO MAMEDE II,UFV SKY SAO MAMEDE II
UFV MORRO PRETO 2,UFV SOL DE JANA 9,UFV VEA II 4,UFV SKY SAO MAMEDE III,UFV SKY SAO MAMEDE III,UFV SKY SAO MAMEDE III,UFV SKY SAO MAMEDE III,UFV SKY SAO MAMEDE III
UFV MORRO PRETO 3,UFV PARQUE SOLAR PIRAPORA 1,UFV VEA II 5,UFV SKY SAO MAMEDE IV,UFV SKY SAO MAMEDE IV,UFV SKY SAO MAMEDE IV,UFV SKY SAO MAMEDE IV,UFV SKY SAO MAMEDE IV
UFV MORRO PRETO 4,UFV PARQUE SOLAR PIRAPORA 2,UFV VEA II 6,UFV SKY SAO MAMEDE IX,UFV SKY SAO MAMEDE IX,UFV SKY SAO MAMEDE IX,UFV SKY SAO MAMEDE IX,UFV SKY SAO MAMEDE IX
UFV MORRO PRETO 5,UFV PARQUE SOLAR PIRAPORA 3,UFV VEA II 7,UFV SKY SAO MAMEDE V,UFV SKY SAO MAMEDE V,UFV SKY SAO MAMEDE V,UFV SKY SAO MAMEDE V,UFV SKY SAO MAMEDE V
UFV MORRO PRETO 6,UFV PARQUE SOLAR PIRAPORA 4,UFV VEA II 8,UFV SKY SAO MAMEDE VI,UFV SKY SAO MAMEDE VI,UFV SKY SAO MAMEDE VI,UFV SKY SAO MAMEDE VI,UFV SKY SAO MAMEDE VI
UFV MORRO PRETO 7,UFV PARQUE SOLAR PIRAPORA 5,UFV VEA II 9,UFV SKY SAO MAMEDE VII,UFV SKY SAO MAMEDE VII,UFV SKY SAO MAMEDE VII,UFV SKY SAO MAMEDE VII,UFV SKY SAO MAMEDE VII
UFV MORRO PRETO 8,UFV PARQUE SOLAR PIRAPORA 6,UFV VEA II 10,UFV SKY SAO MAMEDE VIII,UFV SKY SAO MAMEDE VIII,UFV SKY SAO MAMEDE VIII,UFV SKY SAO MAMEDE VIII,UFV SKY SAO MAMEDE VIII
UFV MORRO PRETO 9,UFV PARQUE SOLAR PIRAPORA 7,UFV VEA II 11,UFV SKY SAO MAMEDE X,UFV SKY SAO MAMEDE X,UFV SKY SAO MAMEDE X,UFV SKY SAO MAMEDE X,UFV SKY SAO MAMEDE X
UFV MORRO PRETO 10,UFV PARQUE SOLAR PIRAPORA 8,UFV QUIXADA 1,UFV SOBRAL I,UFV SOBRAL I,UFV SOBRAL I,UFV SOBRAL I,UFV SOBRAL I
UFV MORRO PRETO 11,UFV PARQUE SOLAR PIRAPORA 9,UFV QUIXADA 2,UFV SOL DE JANA 1,UFV SOL DE JANA 1,UFV SOL DE JANA 1,UFV SOL DE JANA 1,UFV SOL DE JANA 1
UFV MORRO PRETO 12,UFV PARQUE SOLAR PIRAPORA 10,UFV SOL DO AGRESTE I,UFV SOL DE JANA 10,UFV SOL DE JANA 10,UFV SOL DE JANA 10,UFV SOL DE JANA 10,UFV SOL DE JANA 10
UFV MORRO PRETO 13,UFV GS LASSANCE SOLAR 01,UFV SOL DO AGRESTE II,UFV SOL DE JANA 11,UFV SOL DE JANA 11,UFV SOL DE JANA 11,UFV SOL DE JANA 11,UFV SOL DE JANA 11
UFV MORRO PRETO 14,UFV GS LASSANCE SOLAR 02,UFV SOL DE JANA 1,UFV SOL DE JANA 12,UFV SOL DE JANA 12,UFV SOL DE JANA 12,UFV SOL DE JANA 12,UFV SOL DE JANA 12
UFV MORRO PRETO 15,UFV GS LASSANCE SOLAR 03,UFV SOL DE JANA 10,UFV SOL DE JANA 13,UFV SOL DE JANA 13,UFV SOL DE JANA 13,UFV SOL DE JANA 13,UFV SOL DE JANA 13
UFV MORRO PRETO 16,UFV GS LASSANCE SOLAR 04,UFV SOL DE JANA 11,UFV SOL DE JANA 2,UFV SOL DE JANA 2,UFV SOL DE JANA 2,UFV SOL DE JANA 2,UFV SOL DE JANA 2
UFV MORRO PRETO 17,UFV GS LASSANCE SOLAR 05,UFV SOL DE JANA 12,UFV SOL DE JANA 3,UFV SOL DE JANA 3,UFV SOL DE JANA 3,UFV SOL DE JANA 3,UFV SOL DE JANA 3
UFV MORRO PRETO 18,UFV GS LASSANCE SOLAR 06,UFV SOL DE JANA 13,UFV SOL DE JANA 4,UFV SOL DE JANA 4,UFV SOL DE JANA 4,UFV SOL DE JANA 4,UFV SOL DE JANA 4
UFV MORRO PRETO 19,UFV GS LASSANCE SOLAR 07,UFV SOL DE JANA 2,UFV SOL DE JANA 5,UFV SOL DE JANA 5,UFV SOL DE JANA 5,UFV SOL DE JANA 5,UFV SOL DE JANA 5
UFV MORRO PRETO 20,UFV GS LASSANCE SOLAR 08,UFV SOL DE JANA 3,UFV SOL DE JANA 6,UFV SOL DE JANA 6,UFV SOL DE JANA 6,UFV SOL DE JANA 6,UFV SOL DE JANA 6
UFV MORRO PRETO 21,UFV GS LASSANCE SOLAR 09,UFV SOL DE JANA 4,UFV SOL DE JANA 7,UFV SOL DE JANA 7,UFV SOL DE JANA 7,UFV SOL DE JANA 7,UFV SOL DE JANA 7
UFV MORRO PRETO 22,UFV FOTONS DE SAO CLAUS 01,UFV SOL DE JANA 5,UFV SOL DE JANA 8,UFV SOL DE JANA 8,UFV SOL DE JANA 8,UFV SOL DE JANA 8,UFV SOL DE JANA 8
UFV MORRO PRETO 23,UFV FOTONS DE SAO CLAUS 02,UFV SOL DE JANA 6,UFV SOL DE JANA 9,UFV SOL DE JANA 9,UFV SOL DE JANA 9,UFV SOL DE JANA 9,UFV SOL DE JANA 9
UFV MORRO PRETO 24,UFV FOTONS DE SAO CLAUS 03,UFV SOL DE JANA 7,UFV SOL DO AGRESTE I,UFV SOL DO AGRESTE I,UFV SOL DO AGRESTE I,UFV SOL DO AGRESTE I,UFV SOL DO AGRESTE I
UFV MORRO PRETO 25,UFV FOTONS DE SAO CLAUS 04,UFV SOL DE JANA 8,UFV SOL DO AGRESTE II,UFV SOL DO AGRESTE II,UFV SOL DO AGRESTE II,UFV SOL DO AGRESTE II,UFV SOL DO AGRESTE II
UFV MORRO PRETO 26,UFV FOTONS DE SAO CLAUS 05,UFV SOL DE JANA 9,UFV SOL DO AGRESTE III,UFV SOL DO AGRESTE III,UFV SOL DO AGRESTE III,UFV SOL DO AGRESTE III,UFV SOL DO AGRESTE III
UFV MORRO PRETO 27,UFV FOTONS DE SAO CLAUS 06,UFV PARQUE SOLAR PIRAPORA 1,UFV SOL DO AGRESTE IV,UFV SOL DO AGRESTE IV,UFV SOL DO AGRESTE IV,UFV SOL DO AGRESTE IV,UFV SOL DO AGRESTE IV
UFV MORRO PRETO 28,UFV FOTONS DE SAO CLAUS 07,UFV PARQUE SOLAR PIRAPORA 2,UFV SOL DO AGRESTE V,UFV SOL DO AGRESTE V,UFV SOL DO AGRESTE V,UFV SOL DO AGRESTE V,UFV SOL DO AGRESTE V
UFV MORRO PRETO 29,UFV ARAPUA 5,UFV PARQUE SOLAR PIRAPORA 3,UFV SOL DO SAO FRANCISCO,UFV SOL DO SAO FRANCISCO,UFV SOL DO SAO FRANCISCO,UFV SOL DO SAO FRANCISCO,UFV SOL DO SAO FRANCISCO
UFV MORRO PRETO 30,UFV ARAPUA 6,UFV PARQUE SOLAR PIRAPORA 4,UFV SOLAR DAS LARANJEIRAS 1,UFV SOLAR DAS LARANJEIRAS 1,UFV SOLAR DAS LARANJEIRAS 1,UFV SOLAR DAS LARANJEIRAS 1,UFV SOLAR DAS LARANJEIRAS 1
UFV MORRO PRETO 31,UFV ARAPUA 7,UFV PARQUE SOLAR PIRAPORA 5,UFV SOLAR DAS LARANJEIRAS 2,UFV SOLAR DAS LARANJEIRAS 2,UFV SOLAR DAS LARANJEIRAS 2,UFV SOLAR DAS LARANJEIRAS 2,UFV SOLAR DAS LARANJEIRAS 2
UFV MORRO PRETO 32,UFV ARAPUA 8,UFV PARQUE SOLAR PIRAPORA 6,UFV SOLAR DAS LARANJEIRAS 3,UFV SOLAR DAS LARANJEIRAS 3,UFV SOLAR DAS LARANJEIRAS 3,UFV SOLAR DAS LARANJEIRAS 3,UFV SOLAR DAS LARANJEIRAS 3
UFV MORRO PRETO 33,UFV NOVA ESPERANCA 1,UFV PARQUE SOLAR PIRAPORA 7,UFV SOLAR DAS LARANJEIRAS 4,UFV SOLAR DAS LARANJEIRAS 4,UFV SOLAR DAS LARANJEIRAS 4,UFV SOLAR DAS LARANJEIRAS 4,UFV SOLAR DAS LARANJEIRAS 4
UFV MORRO PRETO 34,UFV NOVA ESPERANCA 2,UFV PARQUE SOLAR PIRAPORA 8,UFV SOLAR DAS LARANJEIRAS 5,UFV SOLAR DAS LARANJEIRAS 5,UFV SOLAR DAS LARANJEIRAS 5,UFV SOLAR DAS LARANJEIRAS 5,UFV SOLAR DAS LARANJEIRAS 5
UFV MORRO PRETO 35,UFV NOVA ESPERANCA 3,UFV PARQUE SOLAR PIRAPORA 9,UFV SOLAR DAS LARANJEIRAS 6,UFV SOLAR DAS LARANJEIRAS 6,UFV SOLAR DAS LARANJEIRAS 6,UFV SOLAR DAS LARANJEIRAS 6,UFV SOLAR DAS LARANJEIRAS 6
UFV MORRO PRETO 36,UFV RAIOS DE SAO FRANCISCO V,UFV PARQUE SOLAR PIRAPORA 10,UFV SOLAR DAS LARANJEIRAS 7,UFV SOLAR DAS LARANJEIRAS 7,UFV SOLAR DAS LARANJEIRAS 7,UFV SOLAR DAS LARANJEIRAS 7,UFV SOLAR DAS LARANJEIRAS 7
UFV MORRO PRETO 37,UFV RAIOS DE SAO FRANCISCO VI,UFV GS LASSANCE SOLAR 01,UFV SOLAR IRECE 1,UFV SOLAR IRECE 1,UFV SOLAR IRECE 1,UFV SOLAR IRECE 1,UFV SOLAR IRECE 1
UFV MORRO PRETO 38,UFV CANOA GRANDE IV,UFV GS LASSANCE SOLAR 02,UFV SOLAR IRECE 2,UFV SOLAR IRECE 2,UFV SOLAR IRECE 2,UFV SOLAR IRECE 2,UFV SOLAR IRECE 2
UFV MORRO PRETO 39,UFV CANOA GRANDE IX,UFV GS LASSANCE SOLAR 03,UFV SOLAR SAO SIMAO,UFV SOLAR SAO SIMAO,UFV SOLAR SAO SIMAO,UFV SOLAR SAO SIMAO,UFV SOLAR SAO SIMAO
UFV MORRO PRETO 40,UFV CANOA GRANDE X,UFV GS LASSANCE SOLAR 04,UFV SOLIDAO 1,UFV SOLIDAO 1,UFV SOLIDAO 1,UFV SOLIDAO 1,UFV SOLIDAO 1
UFV CANOA GRANDE V,UFV CANOA GRANDE XI,UFV GS LASSANCE SOLAR 05,UFV SOLIDAO 10,UFV SOLIDAO 10,UFV SOLIDAO 10,UFV SOLIDAO 10,UFV SOLIDAO 10
UFV CANOA GRANDE VI,UFV SOL DO AGRESTE III,UFV GS LASSANCE SOLAR 06,UFV SOLIDAO 11,UFV SOLIDAO 11,UFV SOLIDAO 11,UFV SOLIDAO 11,UFV SOLIDAO 11
UFV CANOA GRANDE VII,UFV SOL DO AGRESTE IV,UFV GS LASSANCE SOLAR 07,UFV SOLIDAO 12,UFV SOLIDAO 12,UFV SOLIDAO 12,UFV SOLIDAO 12,UFV SOLIDAO 12
UFV CANOA GRANDE VIII,UFV SOL DO AGRESTE V,UFV GS LASSANCE SOLAR 08,UFV SOLIDAO 2,UFV SOLIDAO 2,UFV SOLIDAO 2,UFV SOLIDAO 2,UFV SOLIDAO 2
UFV CANOA GRANDE XII,UFV HELIOS 1,UFV GS LASSANCE SOLAR 09,UFV SOLIDAO 3,UFV SOLIDAO 3,UFV SOLIDAO 3,UFV SOLIDAO 3,UFV SOLIDAO 3
UFV CANOA GRANDE XIII,UFV HELIOS 2,UFV FOTONS DE SAO CLAUS 01,UFV SOLIDAO 4,UFV SOLIDAO 4,UFV SOLIDAO 4,UFV SOLIDAO 4,UFV SOLIDAO 4
UFV CANOA GRANDE XIV,UFV SOLAR SAO SIMAO,UFV FOTONS DE SAO CLAUS 02,UFV SOLIDAO 5,UFV SOLIDAO 5,UFV SOLIDAO 5,UFV SOLIDAO 5,UFV SOLIDAO 5
UFV CANOA GRANDE XV,UFV SOLAR DAS LARANJEIRAS 1,UFV FOTONS DE SAO CLAUS 03,UFV SOLIDAO 6,UFV SOLIDAO 6,UFV SOLIDAO 6,UFV SOLIDAO 6,UFV SOLIDAO 6
UFV GSII SOLAR 1,UFV SOLAR DAS LARANJEIRAS 2,UFV FOTONS DE SAO CLAUS 04,UFV SOLIDAO 7,UFV SOLIDAO 7,UFV SOLIDAO 7,UFV SOLIDAO 7,UFV SOLIDAO 7
UFV GSII SOLAR 3,UFV SOLAR DAS LARANJEIRAS 3,UFV FOTONS DE SAO CLAUS 05,UFV SOLIDAO 8,UFV SOLIDAO 8,UFV SOLIDAO 8,UFV SOLIDAO 8,UFV SOLIDAO 8
,UFV SOLAR DAS LARANJEIRAS 4,UFV FOTONS DE SAO CLAUS 06,UFV SOLIDAO 9,UFV SOLIDAO 9,UFV SOLIDAO 9,UFV SOLIDAO 9,UFV SOLIDAO 9
,UFV SOLAR DAS LARANJEIRAS 5,UFV FOTONS DE SAO CLAUS 07,UFV TIMBAUBA I,UFV TIMBAUBA I,UFV TIMBAUBA I,UFV TIMBAUBA I,UFV TIMBAUBA I
,UFV SOLAR DAS LARANJEIRAS 6,UFV ARAPUA 5,UFV TIMBAUBA II,UFV TIMBAUBA II,UFV TIMBAUBA II,UFV TIMBAUBA II,UFV TIMBAUBA II
,UFV SOLAR DAS LARANJEIRAS 7,UFV ARAPUA 6,UFV TIMBAUBA III,UFV TIMBAUBA III,UFV TIMBAUBA III,UFV TIMBAUBA III,UFV TIMBAUBA III
,UFV CUMARU SOLAR 01,UFV ARAPUA 7,UFV TIMBAUBA IV,UFV TIMBAUBA IV,UFV TIMBAUBA IV,UFV TIMBAUBA IV,UFV TIMBAUBA IV
