2024,2025,2026,2027,2028,2029,2030,2031
UFV CELEO BARREIRAS I,UFV TIMBAUBA I,UFV TIMBAUBA I,UFV BRX JANAUBA 9,UFV BRX JANAUBA 9,UFV BRX JANAUBA 9,UFV BRX JANAUBA 9,UFV BRX JANAUBA 9
UFV CELEO BARREIRAS II,UFV TIMBAUBA II,UFV TIMBAUBA II,UFV CANOA GRANDE IV,UFV CANOA GRANDE IV,UFV CANOA GRANDE IV,UFV CANOA GRANDE IV,UFV CANOA GRANDE IV
UFV CELEO BARREIRAS III,UFV TIMBAUBA III,UFV TIMBAUBA III,UFV CANOA GRANDE IX,UFV CANOA GRANDE IX,UFV CANOA GRANDE IX,UFV CANOA GRANDE IX,UFV CANOA GRANDE IX
UFV CELEO BARREIRAS IV,UFV TIMBAUBA IV,UFV TIMBAUBA IV,UFV CANOA GRANDE V,UFV CANOA GRANDE V,UFV CANOA GRANDE V,UFV CANOA GRANDE V,UFV CANOA GRANDE V
UFV CELEO BARREIRAS V,UFV ULA 04A,UFV ULA 04A,UFV CANOA GRANDE VI,UFV CANOA GRANDE VI,UFV CANOA GRANDE VI,UFV CANOA GRANDE VI,UFV CANOA GRANDE VI
UFV CELEO BARREIRAS VI,UFV ULA 05,UFV ULA 05,UFV CANOA GRANDE VII,UFV CANOA GRANDE VII,UFV CANOA GRANDE VII,UFV CANOA GRANDE VII,UFV CANOA GRANDE VII
UFV CELEO BARREIRAS VII,UFV ALTO SAO FRANCISCO IV,UFV ALTO SAO FRANCISCO IV,UFV CANOA GRANDE VIII,UFV CANOA GRANDE VIII,UFV CANOA GRANDE VIII,UFV CANOA GRANDE VIII,UFV CANOA GRANDE VIII
UFV CELEO BARREIRAS VIII,UFV ALTO SAO FRANCISCO IX,UFV ALTO SAO FRANCISCO IX,UFV CANOA GRANDE X,UFV CANOA GRANDE X,UFV CANOA GRANDE X,UFV CANOA GRANDE X,UFV CANOA GRANDE X
UFV CELEO BARREIRAS IX,UFV ALTO SAO FRANCISCO V,UFV ALTO SAO FRANCISCO V,UFV CANOA GRANDE XI,UFV CANOA GRANDE XI,UFV CANOA GRANDE XI,UFV CANOA GRANDE XI,UFV CANOA GRANDE XI
UFV CELEO BARREIRAS X,UFV ALTO SAO FRANCISCO VII,UFV ALTO SAO FRANCISCO VII,UFV CANOA GRANDE XII,UFV CANOA GRANDE XII,UFV CANOA GRANDE XII,UFV CANOA GRANDE XII,UFV CANOA GRANDE XII
