USINA,SUBSISTEMA,CEG,2023,2024,2025,2026,2027,2028,2029,2030,2031,MUST,BUS_2023,BUS_2030
UFV LUZIA 3,NE,044470-7,10.427,9.594,9.604,9.831,10.002,10.055,10.436,10.288,10.303,50.0,5926,58107
UFV MALTA,,034086-3,-,-,-,-,-,-,-,-,-,27.2,-,58260
UFV MARANGATU 1,NE,0037786-4,9.3,8.278,8.628,8.897,10.15,10.147,10.495,10.389,10.404,29.83,44609,365
UFV MARANGATU 10,NE,0038352-0,9.3,8.278,8.628,8.897,10.15,10.147,10.495,10.389,10.404,29.83,44609,365
UFV MARANGATU 11,NE,0038353-8,9.3,8.278,8.628,8.897,10.15,10.147,10.495,10.389,10.404,29.83,44609,365
UFV MARANGATU 12,NE,0038354-6,9.3,8.278,8.628,8.897,10.15,10.147,10.495,10.389,10.404,29.83,44609,365
UFV MARANGATU 2,NE,0037787-2,9.3,8.278,8.628,8.897,10.15,10.147,10.495,10.389,10.404,29.83,44609,365
UFV MARANGATU 3,NE,0037788-0,9.3,8.278,8.628,8.897,10.15,10.147,10.495,10.389,10.404,29.83,44609,365
UFV MARANGATU 4,NE,0037783-0,9.3,8.278,8.628,8.897,10.15,10.147,10.495,10.389,10.404,29.83,44609,365
UFV MARANGATU 5,NE,0037784-8,9.3,8.278,8.628,8.897,10.15,10.147,10.495,10.389,10.404,29.83,44609,365
UFV MARANGATU 6,NE,0037785-6,9.3,8.278,8.628,8.897,10.15,10.147,10.495,10.389,10.404,29.83,44609,365
UFV MARANGATU 7,NE,0038349-0,9.3,8.278,8.628,8.897,10.15,10.147,10.495,10.389,10.404,29.83,44609,365
UFV MARANGATU 8,NE,0038350-3,9.3,8.278,8.628,8.897,10.15,10.147,10.495,10.389,10.404,29.83,44609,365
UFV MARANGATU 9,NE,0038351-1,9.3,8.278,8.628,8.897,10.15,10.147,10.495,10.389,10.404,29.83,44609,365
UFV MAURITI 1,NE,038364-3,10.312,9.535,9.537,9.765,10.592,10.744,11.137,11.001,11.017,49.11,5411,221
UFV MAURITI 2,NE,038365-1,10.312,9.535,9.537,9.765,10.592,10.744,11.137,11.001,11.017,24.56,5411,221
UFV MAURITI 3,NE,038366-0,10.312,9.535,9.537,9.765,10.592,10.744,11.137,11.001,11.017,49.11,5411,221
UFV MAURITI 4,NE,038367-8,10.312,9.535,9.537,9.765,10.592,10.744,11.137,11.001,11.017,49.11,5411,221
UFV MAURITI 5,NE,038368-6,10.312,9.535,9.537,9.765,10.592,10.744,11.137,11.001,11.017,49.11,5411,221
UFV MAURITI 6,NE,038369-4,10.312,9.535,9.537,9.765,10.592,10.744,11.137,11.001,11.017,49.11,5411,221
UFV MAURITI 7,NE,038370-8,10.312,9.535,9.537,9.765,10.592,10.744,11.137,11.001,11.017,14.73,5411,221
UFV MAURITI 8,NE,038371-6,10.312,9.535,9.537,9.765,10.592,10.744,11.137,11.001,11.017,49.11,5411,221
UFV MAURITI 9,NE,038372-4,10.312,9.535,9.537,9.765,10.592,10.744,11.137,11.001,11.017,9.82,5411,221
UFV MENDUBIM I,NE,9037749-0,10.81,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,35.95,5351,11265
UFV MENDUBIM II,NE,9037750-3,10.81,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,31.46,5351,11265
UFV MENDUBIM III,NE,9037751-1,10.81,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,35.95,5351,11265
UFV MENDUBIM IV,NE,9037752-0,10.81,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,35.95,5351,11265
UFV MENDUBIM IX,NE,9037770-8,10.81,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,35.95,5351,11265
UFV MENDUBIM V,NE,9037753-8,10.81,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,31.46,5351,11265
UFV MENDUBIM VI,NE,9037754-6,10.81,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,31.46,5351,11265
UFV MENDUBIM VII,NE,9037755-4,10.81,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,31.46,5351,11265
UFV MENDUBIM VIII,NE,9037769-4,10.81,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,31.46,5351,11265
UFV MENDUBIM X,NE,9037771-6,10.81,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,22.47,5351,11265
UFV MENDUBIM XI,NE,9037772-4,10.81,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,53.92,5351,11265
UFV MENDUBIM XII,NE,9037773-2,10.81,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,26.96,5351,11265
UFV MENDUBIM XIII,NE,9037774-0,10.81,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,35.95,5351,11265
UFV MILAGRES I,NE,044573-8,10.737,9.233,8.897,9.086,10.671,10.819,11.219,11.085,11.101,32.74,8344,58836
UFV MILAGRES II,NE,044574-6,10.737,9.233,8.897,9.086,10.671,10.819,11.219,11.085,11.101,32.74,8344,58841
UFV MILAGRES III,NE,044575-4,10.737,9.233,8.897,9.086,10.671,10.819,11.219,11.085,11.101,32.74,8344,58842
UFV MILAGRES IV,NE,044579-7,10.737,9.233,8.897,9.086,10.671,10.819,11.219,11.085,11.101,32.74,8344,58843
UFV MILAGRES V,NE,044576-2,10.737,9.233,8.897,9.086,10.671,10.819,11.219,11.085,11.101,32.74,8344,58844
UFV MINAS DO SOL 03,NE,047356-1,-,10.752,10.553,10.893,11.318,11.371,11.784,11.578,11.594,25.0,-,585
UFV MINAS DO SOL 05,NE,047358-8,-,10.752,10.553,10.893,11.318,11.371,11.784,11.578,11.594,25.0,-,585
UFV MINAS DO SOL 06,NE,047359-6,-,10.752,10.553,10.893,11.318,11.371,11.784,11.578,11.594,25.0,-,585
UFV MONTE VERDE SOLAR I,NE,045153-3,-,9.817,9.887,10.115,10.879,10.985,11.404,11.272,11.289,46.46,-,212
UFV MONTE VERDE SOLAR II,NE,1045154-1,10.651,9.817,9.887,10.115,8.054,7.933,8.091,8.459,8.471,46.04,8145,40402
UFV MONTE VERDE SOLAR III,NE,1045155-0,10.651,9.817,9.887,10.115,8.054,7.933,8.091,8.459,8.471,37.3,8145,40401
UFV MONTE VERDE SOLAR IV,NE,1045156-8,10.651,9.817,9.887,10.115,7.981,7.857,8.01,8.377,8.389,46.04,8145,40404
UFV MONTE VERDE SOLAR V,NE,1045020-0,10.651,9.817,9.887,10.115,8.212,8.098,8.268,8.642,8.654,45.83,8145,40410
UFV MONTE VERDE SOLAR VI,NE,045022-7,-,9.817,9.887,10.115,10.879,10.985,11.404,11.272,11.289,37.26,-,212
UFV MONTE VERDE SOLAR VII,NE,1045021-9,10.651,9.817,9.887,10.115,7.087,6.95,7.065,7.454,7.464,28.78,8145,3013
UFV MUNDO NOVO I,NE,040195-1,-,9.402,9.698,9.924,11.002,11.039,11.467,11.331,11.348,44.0,-,506
UFV MUNDO NOVO II,NE,040196-0,-,9.402,9.698,9.924,11.002,11.039,11.467,11.331,11.348,46.0,-,506
UFV MUNDO NOVO III,NE,040198-6,-,9.402,9.698,9.924,11.002,11.039,11.467,11.331,11.348,46.0,-,506
UFV MUNDO NOVO IV,NE,040197-8,-,9.402,9.698,9.924,11.002,11.039,11.467,11.331,11.348,46.0,-,506
UFV NOVA OLINDA 10,NE,033129-5,10.849,10.172,10.134,10.361,11.124,11.15,11.592,11.471,11.488,30.0,5570,58164
UFV NOVA OLINDA 11,NE,033130-9,10.849,10.172,10.134,10.361,11.124,11.15,11.592,11.471,11.488,30.0,5570,58165
UFV NOVA OLINDA 12,NE,033131-7,10.849,10.172,10.134,10.361,11.124,11.15,11.592,11.471,11.488,30.0,5570,58166
UFV NOVA OLINDA 13,NE,033132-5,10.849,10.172,10.134,10.361,11.124,11.15,11.592,11.471,11.488,30.0,5570,58167
UFV NOVA OLINDA 14,NE,033133-3,10.849,10.172,10.134,10.361,11.124,11.15,11.592,11.471,11.488,30.0,5570,58168
UFV NOVA OLINDA 8,NE,033127-9,10.849,10.172,10.134,10.361,11.124,11.15,11.592,11.471,11.488,30.0,5570,58162
UFV NOVA OLINDA 9,NE,033128-7,10.849,10.172,10.134,10.361,11.124,11.15,11.592,11.471,11.488,30.0,5570,58163
UFV NOVO ORIENTE I,,049335-0,-,-,-,-,-,-,-,-,-,40.399,543,2616
UFV NOVO ORIENTE II,,049336-8,-,-,-,-,-,-,-,-,-,40.399,543,2616
UFV NOVO ORIENTE III,,049337-6,-,-,-,-,-,-,-,-,-,40.399,543,2616
UFV NOVO ORIENTE IV,,049338-4,-,-,-,-,-,-,-,-,-,40.399,543,2616
UFV NOVO ORIENTE V,,049339-2,-,-,-,-,-,-,-,-,-,46.17,543,2616
UFV NOVO ORIENTE VI,,049340-6,-,-,-,-,-,-,-,-,-,46.17,543,2616
UFV NOVO TEXAS 1,SE,049960-9,-,12.994,12.777,13.212,11.207,11.242,11.627,11.47,11.487,30.0,-,846
UFV NOVO TEXAS 2,SE,049961-7,-,12.994,12.777,13.212,11.207,11.242,11.627,11.47,11.487,30.0,-,846
UFV OLHO DO SOL 1,NE,1040698-8,-,-,8.498,8.762,9.763,9.744,10.068,9.953,9.968,29.588,-,227
UFV OLHO DO SOL 2,NE,1040699-6,-,-,8.498,8.762,9.763,9.744,10.068,9.953,9.968,29.659,-,227
UFV OLHO DO SOL 3,NE,1040700-3,-,-,8.498,8.762,9.763,9.744,10.068,9.953,9.968,29.68,-,227
UFV OLHO DO SOL 4,NE,1040701-1,-,-,8.498,8.762,9.763,9.744,10.068,9.953,9.968,29.725,-,227
UFV OLHO DO SOL 5,NE,1040702-0,-,-,8.498,8.762,9.763,9.744,10.068,9.953,9.968,29.752,-,227
UFV OLHO DO SOL 6,NE,1040703-8,-,-,8.498,8.762,9.763,9.744,10.068,9.953,9.968,29.707,-,227
UFV OLHO DO SOL 7,NE,1040704-6,-,-,8.498,8.762,9.763,9.744,10.068,9.953,9.968,29.662,-,227
UFV OLHO DO SOL 8,NE,1040705-4,-,-,8.498,8.762,9.763,9.744,10.068,9.953,9.968,29.606,-,227
UFV PANATI 1,NE,2038389-9,9.708,8.924,9.14,9.36,10.115,10.154,10.491,10.346,10.361,29.25,5421,222
UFV PANATI 2,NE,2038390-2,9.708,8.924,9.14,9.36,10.115,10.154,10.491,10.346,10.361,29.25,5421,222
UFV PANATI 3,NE,2038392-9,9.708,8.924,9.14,9.36,10.115,10.154,10.491,10.346,10.361,29.25,5421,222
UFV PANATI 4,NE,2038393-7,9.708,8.924,9.14,9.36,10.115,10.154,10.491,10.346,10.361,29.25,5421,222
UFV PANATI 5,NE,2038394-5,9.708,8.924,9.14,9.36,10.115,10.154,10.491,10.346,10.361,29.25,5421,222
UFV PANATI 6,NE,2038395-3,9.708,8.924,9.14,9.36,10.115,10.154,10.491,10.346,10.361,29.25,5421,222
UFV PANORAMA 01,NE,9049401-1,-,10.084,10.076,10.293,9.421,9.394,9.574,9.95,9.964,100.0,-,2754
UFV PANORAMA 02,NE,9049402-0,-,10.084,10.076,10.293,9.421,9.394,9.574,9.95,9.964,100.0,-,2754
UFV PANORAMA 03,NE,9049403-8,-,10.084,10.076,10.293,9.421,9.394,9.574,9.95,9.964,100.0,-,2754
UFV PANORAMA 04,,,-,-,-,-,-,-,-,-,-,5.0,-,31505
UFV PANORAMA 05,,,-,-,-,-,-,-,-,-,-,5.0,-,31506
UFV PANORAMA 06,,,-,-,-,-,-,-,-,-,-,5.0,-,31507
UFV PANORAMA 07,,,-,-,-,-,-,-,-,-,-,5.0,-,31508
UFV PANORAMA 08,,,-,-,-,-,-,-,-,-,-,5.0,-,31509
UFV PARACATU 1,,033999-7,-,-,-,-,-,-,-,-,-,32.9,4066,60011
UFV PARACATU 2,,034000-6,-,-,-,-,-,-,-,-,-,32.9,4066,60012
UFV PARACATU 3,,033990-3,-,-,-,-,-,-,-,-,-,32.9,4066,60013
UFV PARACATU 4,,033991-1,-,-,-,-,-,-,-,-,-,32.9,4066,60014
UFV PARANAIBA 1,SE,1035631-0,11.63,-,-,-,-,-,-,-,-,-,1090,-
UFV PARANAIBA 10,SE,1049426-7,11.63,-,-,-,-,-,-,-,-,-,1090,-
UFV PARANAIBA 11,SE,1049427-5,11.63,-,-,-,-,-,-,-,-,-,1090,-
UFV PARANAIBA 2,SE,1035632-8,11.63,-,-,-,-,-,-,-,-,-,1090,-
UFV PARANAIBA 3,SE,1035633-6,11.63,-,-,-,-,-,-,-,-,-,1090,-
UFV PARANAIBA 4,SE,1035634-4,11.63,-,-,-,-,-,-,-,-,-,1090,-
UFV PARANAIBA 5,SE,1035635-2,11.63,-,-,-,-,-,-,-,-,-,1090,-
UFV PARANAIBA 6,SE,1035636-0,11.63,-,-,-,-,-,-,-,-,-,1090,-
UFV PARANAIBA 7,SE,1035637-9,11.63,-,-,-,-,-,-,-,-,-,1090,-
UFV PARANAIBA 8,SE,1043187-7,11.63,-,-,-,-,-,-,-,-,-,1090,-
UFV PARANAIBA 9,SE,1049425-9,11.63,-,-,-,-,-,-,-,-,-,1090,-
UFV PEDRANOPOLIS 1,,034358-7,-,-,-,-,-,-,-,-,-,29.2,7738,60048
UFV PEDRANOPOLIS 2,,034359-5,-,-,-,-,-,-,-,-,-,29.2,7738,60048
UFV PEDRANOPOLIS 3,,034360-9,-,-,-,-,-,-,-,-,-,29.2,7738,60048
UFV PEREIRA BARRETO I,,034361-0,-,-,-,-,-,-,-,-,-,41.49,543,60133
UFV PEREIRA BARRETO II,,034362-0,-,-,-,-,-,-,-,-,-,41.49,543,2616
UFV PEREIRA BARRETO III,,034363-0,-,-,-,-,-,-,-,-,-,41.49,543,60133
UFV PEREIRA BARRETO IV,,034364-0,-,-,-,-,-,-,-,-,-,41.49,543,60133
UFV PEREIRA BARRETO V,,034365-0,-,-,-,-,-,-,-,-,-,36.48,543,60133
UFV PIRAPORA 10,,033193-7,-,-,-,-,-,-,-,-,-,30.0,93501,60008
UFV PIRAPORA 2,,033185-6,-,-,-,-,-,-,-,-,-,30.0,93502,60001
UFV PIRAPORA 3,,033186-4,-,-,-,-,-,-,-,-,-,30.0,93503,60002
UFV PIRAPORA 4,,033187-2,-,-,-,-,-,-,-,-,-,30.0,93504,60003
UFV PIRAPORA 5,,033188-0,-,-,-,-,-,-,-,-,-,30.0,93497,60004
UFV PIRAPORA 6,,033189-9,-,-,-,-,-,-,-,-,-,30.0,93498,60005
UFV PIRAPORA 7,,033190-2,-,-,-,-,-,-,-,-,-,30.0,93499,60006
UFV PIRAPORA 9,,033192-9,-,-,-,-,-,-,-,-,-,30.0,93500,60007
UFV PITOMBEIRA,NE,034037-5,10.135,9.313,9.541,9.766,10.723,10.767,11.141,11.009,11.025,46.01,5431,223
UFV PROF HELEY BATISTA 1 A 3,,,-,-,-,-,-,-,-,-,-,125.0,-,60094
UFV PROFA. HELEY DE ABREU SILVA,SE,,-,-,-,-,10.726,10.746,11.115,11.093,11.109,50.0,-,38832
UFV RAIOS DO PARNAIBA I,NE,043203-2,-,10.084,10.076,10.293,10.879,10.985,11.404,11.272,11.289,30.0,-,212
UFV RAIOS DO PARNAIBA II,NE,044294-1,-,10.084,10.076,10.293,10.879,10.985,11.404,11.272,11.289,30.0,-,212
UFV RAIOS DO PARNAIBA III,NE,043204-0,-,10.084,10.076,10.293,10.879,10.985,11.404,11.272,11.289,30.0,-,212
UFV RAIOS DO PARNAIBA IX,NE,043205-9,-,10.084,10.076,10.293,10.755,10.884,11.294,11.162,11.178,30.0,-,220
UFV RAIOS DO PARNAIBA V,NE,043209-1,-,10.084,10.076,10.293,10.879,10.985,11.404,11.272,11.289,30.0,-,212
UFV RAIOS DO PARNAIBA VI,NE,043206-7,-,10.084,10.076,10.293,10.879,10.985,11.404,11.272,11.289,30.0,-,212
UFV RAIOS DO PARNAIBA VII,NE,043207-5,-,10.084,10.076,10.293,10.879,10.985,11.404,11.272,11.289,30.0,-,212
UFV RAIOS DO PARNAIBA VIII,NE,043212-1,-,10.084,10.076,10.293,10.755,10.884,11.294,11.162,11.178,30.0,-,220
UFV RIACHO DA SERRA 4,NE,046083-4,-,10.638,10.548,10.83,11.337,11.375,11.769,11.623,11.64,61.03,-,12318
UFV RIACHO DA SERRA 5,NE,046582-8,-,10.638,10.548,10.83,11.337,11.375,11.769,11.623,11.64,42.72,-,12318
UFV RIACHO DA SERRA 6,NE,046583-6,-,10.638,10.548,10.83,11.337,11.375,11.769,11.623,11.64,42.72,-,12318
UFV RIACHO DA SERRA 7,NE,046584-4,-,10.638,10.548,10.83,11.337,11.375,11.769,11.623,11.64,36.62,-,12318
UFV RIACHO DA SERRA 8,NE,046585-2,-,10.638,10.548,10.83,11.337,11.375,11.769,11.623,11.64,41.19,-,12318
UFV RIBEIRO GONCALVES I,NE,041904-4,-,10.074,10.05,10.266,11.071,11.092,11.579,11.465,11.482,16.75,-,59251
UFV RIBEIRO GONCALVES II,NE,041905-2,-,10.074,10.05,10.266,11.071,11.092,11.579,11.465,11.482,36.85,-,59252
UFV RIBEIRO GONCALVES III,NE,041906-0,-,10.074,10.05,10.266,11.071,11.092,11.579,11.465,11.482,36.85,-,59253
UFV RIBEIRO GONCALVES IV,NE,041907-9,-,10.074,10.05,10.266,11.071,11.092,11.579,11.465,11.482,20.1,-,59254
UFV RIBEIRO GONCALVES V,NE,8041908-7,10.657,-,-,-,-,-,-,-,-,-,5430,-
UFV RIBEIRO GONCALVES VI,NE,8041909-5,10.657,10.074,10.05,10.266,11.071,11.092,11.579,11.465,11.482,33.09,5430,59256
UFV RIBEIRO GONCALVES VII,NE,8044295-0,10.657,10.074,10.05,10.266,11.071,11.092,11.579,11.465,11.482,29.78,5430,59257
UFV RIBEIRO GONCALVES VIII,NE,8044296-8,10.657,10.074,10.05,10.266,11.071,11.092,11.579,11.465,11.482,29.78,5430,59258
UFV RIO DO PEIXE I,,043210-5,-,-,-,-,-,-,-,-,-,30.0,-,59905
UFV RIO DO PEIXE II,NE,043215-6,-,-,-,-,9.892,10.029,10.388,10.245,10.26,30.0,-,633
UFV RQL 01,,032996-7,-,-,-,-,-,-,-,-,-,30.0,7828,60171
UFV RQL 02,,033969-5,-,-,-,-,-,-,-,-,-,30.0,7828,60172
UFV SANTA LUZIA 1,NE,049685-5,10.427,9.594,9.604,9.831,10.766,10.834,11.242,11.115,11.132,49.3,5926,58309
UFV SANTA LUZIA 15,NE,6049699-5,-,9.594,9.604,9.831,10.766,10.834,11.242,11.115,11.132,49.3,-,58309
UFV SANTA LUZIA 16,NE,050865-9,-,-,9.604,9.831,10.766,10.834,11.242,11.115,11.132,49.3,-,58309
UFV SANTA LUZIA 17,NE,8050866-7,-,-,9.604,9.831,10.766,10.834,11.242,11.115,11.132,49.3,-,58309
UFV SANTA LUZIA 18,NE,9050867-5,-,-,9.604,9.831,10.766,10.834,11.242,11.115,11.132,49.3,-,58309
UFV SANTA LUZIA 19,NE,0050868-3,-,-,9.604,9.831,10.766,10.834,11.242,11.115,11.132,49.3,-,58309
UFV SANTA LUZIA 2,NE,049686-3,10.427,9.594,9.604,9.831,10.766,10.834,11.242,11.115,11.132,49.3,5926,58309
UFV SANTA LUZIA 20,NE,1050869-1,-,-,9.604,9.831,10.766,10.834,11.242,11.115,11.132,49.3,-,58309
UFV SANTA LUZIA 21,NE,2050870-5,-,-,9.604,9.831,10.766,10.834,11.242,11.115,11.132,49.3,-,58309
UFV SANTA LUZIA 3,NE,049687-1,10.427,9.594,9.604,9.831,10.766,10.834,11.242,11.115,11.132,49.3,5926,58309
UFV SANTA LUZIA 4,NE,049688-0,10.427,9.594,9.604,9.831,10.766,10.834,11.242,11.115,11.132,49.3,5926,58309
UFV SANTA LUZIA 6,NE,049690-1,10.427,9.594,9.604,9.831,10.766,10.834,11.242,11.115,11.132,49.3,5926,58309
UFV SANTA LUZIA 8,NE,049692-8,10.427,9.594,9.604,9.831,10.766,10.834,11.242,11.115,11.132,49.3,5926,58309
UFV SANTA LUZIA IX,NE,049693-6,10.427,9.594,9.604,9.831,10.766,10.834,11.242,11.115,11.132,49.3,5926,58309
UFV SANTA LUZIA V,NE,049689-8,10.427,9.594,9.604,9.831,10.766,10.834,11.242,11.115,11.132,49.3,5926,58309
UFV SANTA LUZIA VII,NE,049691-0,10.427,9.594,9.604,9.831,10.766,10.834,11.242,11.115,11.132,49.3,5926,58309
UFV SAO FRANCISCO I,SE,054447-7,10.173,10.741,10.467,10.867,11.9,11.975,12.422,12.215,12.233,49.9,4350,60221
UFV SAO FRANCISCO II,SE,054448-5,10.173,10.741,10.467,10.867,11.9,11.975,12.422,12.215,12.233,49.9,4350,60221
UFV SAO FRANCISCO III,SE,054449-3,10.173,10.741,10.467,10.867,11.9,11.975,12.422,12.215,12.233,49.9,4350,60221
UFV SAO GONCALO 1,NE,033841-9,10.866,10.41,10.367,10.616,11.266,11.299,11.649,11.532,11.549,45.68,7190,59176
UFV SAO GONCALO 10,NE,037577-2,10.866,10.41,10.367,10.616,11.266,11.299,11.649,11.532,11.549,50.0,7190,59176
UFV SAO GONCALO 11,NE,037578-0,10.866,10.41,10.367,10.616,11.239,11.272,11.62,11.503,11.52,34.54,7190,836
UFV SAO GONCALO 12,NE,037579-9,10.866,10.41,10.367,10.616,11.239,11.272,11.62,11.503,11.52,34.54,7190,836
UFV SAO GONCALO 14,NE,037581-0,10.866,10.41,10.367,10.616,11.239,11.272,11.62,11.503,11.52,42.42,7190,836
UFV SAO GONCALO 15,NE,037582-9,10.866,10.41,10.367,10.616,11.239,11.272,11.62,11.503,11.52,42.42,7190,836
UFV SAO GONCALO 17,NE,037584-5,10.866,10.41,10.367,10.616,11.239,11.272,11.62,11.503,11.52,42.42,7190,836
UFV SAO GONCALO 18,NE,037585-3,10.866,10.41,10.367,10.616,11.239,11.272,11.62,11.503,11.52,42.42,7190,836
UFV SAO GONCALO 19,NE,037586-1,10.866,10.41,10.367,10.616,11.239,11.272,11.62,11.503,11.52,42.42,7190,836
UFV SAO GONCALO 2,NE,033842-7,10.866,10.41,10.367,10.616,11.266,11.299,11.649,11.532,11.549,50.0,7190,59176
UFV SAO GONCALO 21,NE,037588-8,10.866,10.41,10.367,10.616,11.266,11.299,11.649,11.532,11.549,50.0,7190,59176
UFV SAO GONCALO 22,NE,037589-6,10.866,10.41,10.367,10.616,11.266,11.299,11.649,11.532,11.549,50.0,7190,59176
UFV SAO GONCALO 3,NE,033843-5,10.866,10.41,10.367,10.616,11.266,11.299,11.649,11.532,11.549,45.68,7190,59176
UFV SAO GONCALO 4,NE,033844-3,10.866,10.41,10.367,10.616,11.266,11.299,11.649,11.532,11.549,50.0,7190,59176
UFV SAO GONCALO 5,NE,033845-1,10.866,10.41,10.367,10.616,11.266,11.299,11.649,11.532,11.549,50.0,7190,59176
UFV SAO GONCALO 6,NE,033846-0,10.866,10.41,10.367,10.616,11.239,11.272,11.62,11.503,11.52,45.68,7190,836
UFV SAO GONCALO 7,NE,033847-8,10.866,10.41,10.367,10.616,11.239,11.272,11.62,11.503,11.52,34.54,7190,836
UFV SAO GONCALO 8,NE,033849-4,10.866,10.41,10.367,10.616,11.239,11.272,11.62,11.503,11.52,34.54,7190,836
UFV SAO JOAO 1,,047281-6,-,-,-,-,-,-,-,-,-,30.0,7808,60056
UFV SAO JOAO 2,,047282-4,-,-,-,-,-,-,-,-,-,30.0,7808,60056
UFV SAO JOAO 3,,047283-2,-,-,-,-,-,-,-,-,-,30.0,7808,60056
UFV SAO JOAO 4,,047284-0,-,-,-,-,-,-,-,-,-,30.0,7808,60056
UFV SAO JOAO 5,,047285-9,-,-,-,-,-,-,-,-,-,30.0,7808,60056
UFV SAO JOAO 6,,047286-7,-,-,-,-,-,-,-,-,-,30.0,7808,60056
UFV SAO JOAO 7,,047287-5,-,-,-,-,-,-,-,-,-,30.0,7808,60056
UFV SAO PEDRO E PAULO I,,031870-1,-,-,-,-,-,-,-,-,-,26.67,98351,58300
UFV SAO PEDRO E PAULO V,,034186-0,-,-,-,-,-,-,-,-,-,26.67,98351,58301
UFV SAO PEDRO E PAULO VI,,034188-6,-,-,-,-,-,-,-,-,-,22.43,98351,58302
UFV SAO PEDRO E PAULO VIII,,046834-7,-,-,-,-,-,-,-,-,-,5.67,98351,58326
UFV SAO PEDRO II,NE,033782-0,-,11.164,11.068,11.385,11.265,11.317,11.725,11.516,11.533,29.84,-,59446
UFV SAO PEDRO IV,NE,033784-6,-,11.164,11.068,11.385,11.265,11.317,11.725,11.516,11.533,29.84,-,59447
UFV SELECAO 1,NE,044871-0,-,8.924,9.14,9.36,10.115,10.154,10.491,10.346,10.361,40.0,-,222
UFV SELECAO 2,NE,044872-9,-,8.924,9.14,9.36,10.115,10.154,10.491,10.346,10.361,40.0,-,222
UFV SELECAO 3,NE,044873-7,-,8.924,9.14,9.36,10.115,10.154,10.491,10.346,10.361,40.0,-,222
UFV SELECAO 4,NE,044874-5,-,8.924,9.14,9.36,10.115,10.154,10.491,10.346,10.361,40.0,-,222
UFV SELECAO 5,NE,046702-2,-,8.924,9.14,9.36,10.115,10.154,10.491,10.346,10.361,40.0,-,222
UFV SERRA DO MATO III,NE,044495-2,10.282,9.402,9.698,9.924,10.755,10.884,11.294,11.162,11.178,46.5,5371,220
UFV SERRA DO MATO IV,NE,044496-0,10.282,9.402,9.698,9.924,10.755,10.884,11.294,11.162,11.178,53.28,5371,220
UFV SERRA DO MEL I,NE,037811-9,10.68,9.883,9.981,10.21,11.247,11.312,11.738,11.617,11.634,137.48,5350,56492
UFV SERRA DO MEL II,NE,037812-7,10.68,9.883,9.981,10.21,11.247,11.312,11.738,11.617,11.634,103.11,5350,56493
UFV SERRA DO MEL III,NE,047424-0,10.68,9.883,9.981,10.21,11.247,11.312,11.738,11.617,11.634,45.71,5350,56474
UFV SERRA DO MEL IV,NE,047425-8,10.68,9.883,9.981,10.21,11.247,11.312,11.738,11.617,11.634,45.71,5350,56474
UFV SERRA DO MEL V,NE,047422-3,10.68,9.883,9.981,10.21,11.247,11.312,11.738,11.617,11.634,45.71,5350,56474
UFV SERRA DO MEL VI,NE,047423-1,10.68,9.883,9.981,10.21,11.247,11.312,11.738,11.617,11.634,45.71,5350,56474
UFV SERRA DO MEL VII,NE,047420-7,-,9.883,9.981,10.21,11.084,11.146,11.564,11.441,11.458,48.12,-,11565
UFV SERTAO 1,,034384-6,-,-,-,-,-,-,-,-,-,30.0,-,58174
UFV SERTAO SOLAR BARREIRAS I,NE,033469-3,-,10.299,10.186,10.478,9.44,9.427,9.729,9.556,9.57,28.0,-,59407
UFV SERTAO SOLAR BARREIRAS II,NE,033470-7,-,10.299,10.186,10.478,9.44,9.427,9.729,9.556,9.57,28.0,-,59408
UFV SERTAO SOLAR BARREIRAS III,NE,033471-5,-,10.299,10.186,10.478,9.44,9.427,9.729,9.556,9.57,28.0,-,59498
UFV SERTAO SOLAR BARREIRAS IV,NE,033473-1,-,10.299,10.186,10.478,9.44,9.427,9.729,9.556,9.57,28.0,-,59509
UFV SERTAO SOLAR BARREIRAS V,NE,033474-0,-,-,-,-,11.313,11.378,11.771,11.643,11.66,27.5,-,59099
UFV SERTAO SOLAR BARREIRAS XIX,NE,2044510-0,10.735,10.7,10.591,10.916,11.207,11.242,11.627,11.47,11.487,49.55,6360,846
UFV SERTAO SOLAR BARREIRAS XV,NE,2044511-8,10.735,10.7,10.591,10.916,11.207,11.242,11.627,11.47,11.487,49.55,6360,846
UFV SERTAO SOLAR BARREIRAS XVI,NE,2044512-6,10.735,10.7,10.591,10.916,11.207,11.242,11.627,11.47,11.487,49.55,6360,846
