CONCESSIONÁRIA;Cód. ANEEL;Cód. ONS;BARRA;NOME;PONTO DE CONEXÃO;TUST RB Ponta;TUST RB Fora Ponta;TUST FR Ponta;TUST FR Fora Ponta;MUST RB Ponta;MUST RB Fora Ponta
ENEL SAO PAULO;390;28;496;M.FORN-SP088; M. FORNASARO - 88;  8,798;  8,848;       ;       ;677,6;711,0
ENEL SAO PAULO;390;28;3440;MREAL--SP020; MIGUEL REALE - 20;  9,049;  9,125;       ;       ;71,23;83,08
ENEL SAO PAULO;390;28;441;MREALE-SP088; MIGUEL REALE - 88;  9,049;  9,126;       ;       ;223,4;217,5
ENEL SAO PAULO;390;28;443;NORDES-SP088; NORDESTE - 88;  8,795;  8,858;       ;       ;209,0;214,9
ENEL SAO PAULO;390;28;436;NORTE2-SP088; NORTE - 88;  8,687;  8,723;       ;       ;578,8;579,5
ENEL SAO PAULO;390;28;3739;PARELH-SP138; PARELHEIROS - 138;  8,894;  8,949;       ;       ;55,13;53,39
ENEL SAO PAULO;390;28;486;PIRA2--SP088; PIRATININGA 2 - 88;  8,767;  8,819;       ;       ;498,9;472,3
ENEL SAO PAULO;390;28;485;PIRATI-SP088; PIRATININGA - 88;  8,693;  8,695;       ;       ;243,9;218,1
ENEL SAO PAULO;390;28;422;PIRITU-SP088; PIRITUBA - 88;  9,433;  9,598;       ;       ;265,2;275,6
ENEL SAO PAULO;390;28;467;RAMORF-SP088; RAM REBERT F - 88;  8,694;  8,749;       ;       ;656,8;641,0
ENEL SAO PAULO;390;28;3475;SUL--1-SP088; SUL - 88;  9,277;  9,378;       ;       ;788,8;760,3
ENERGISA ACRE;26;94;6991;FEIJO--AC069; FEIJO - 69;  6,792;  5,856;       ;       ;10,25;10,50
ENERGISA ACRE;26;94;6952;R.BRAN-AC069; RIO BRANCO 1 - 69;  6,561;  5,603;       ;       ;141,3;148,0
ENERGISA ACRE;26;94;6951;R.BRAN-AC138; RIO BRANCO 1 – 138;  6,572;  5,615;       ;       ;20,00;21,70
