CONCESSIONÁRIA;Cód. ANEEL;Cód. ONS;BARRA;NOME;PONTO DE CONEXÃO;TUST RB Ponta;TUST RB Fora Ponta;TUST FR Ponta;TUST FR Fora Ponta;MUST RB Ponta;MUST RB Fora Ponta
CPFL PAULISTA;63;7;6584;BIRIG3-SP138; BIRIGUI 3 - 138;  7,452;  7,337;       ;       ;14,80;19,90
CPFL PAULISTA;63;7;2113;BNOVA-BIO138; BROTAS - 138;  8,458;  8,512;       ;       ;16,80;16,80
CPFL PAULISTA;63;7;626;BOTUCA-SP138; BOTUCATU - 138;  8,875;  9,013;       ;       ;143,6;144,1
CPFL PAULISTA;63;7;171;CAMPIN-SP138; CAMPINAS - 138;  8,375;  8,421;       ;       ;415,5;463,5
CPFL PAULISTA;63;7;498;DAMATA-SP138; DA MATA  - 138;  7,295;  7,163;       ;       ; 6,50; 6,50
CPFL PAULISTA;63;7;2339;DESCAL-SP138; DESCALVADO - 138;  8,113;  8,075;       ;       ;22,05;25,20
CPFL PAULISTA;63;7;4290;DOOSAN-SP138; DOOSAN DABO - 138;  8,300;  8,310;       ;       ; 0,10; 0,20
CPFL PAULISTA;63;7;3106;GETULI-SP138; GETULINA - 138;  7,668;  7,587;       ;       ;202,6;214,9
CPFL PAULISTA;63;7;4291;GU+TANBIO138; GUARA. TANABI - 138;  7,452;  7,320;       ;       ; 5,00; 5,00
CPFL PAULISTA;63;7;2311;GUA+BI-SP138; GUARANI - 138;  7,444;  7,328;       ;       ;34,80;41,40
CPFL PAULISTA;63;7;7686;GUARAR-SP138; GUARARAPES 2 - 138;  7,371;  7,249;       ;       ;16,30;15,60
CPFL PAULISTA;63;7;6582;IACANGBIO138; IACANGA - 138;  7,951;  7,912;       ;       ;11,70;12,70
CPFL PAULISTA;63;7;2341;IBI+IT-SP138; IBITINGA-SE - 138;  7,972;  7,936;       ;       ;44,00;48,00
CPFL PAULISTA;63;7;645;IBITIN-SP138; IBITINGA - 138;  7,955;  7,916;       ;       ; 3,50; 3,80
CPFL PAULISTA;63;7;2342;IPORA--SP138; IPORA - 138;  7,427;  7,309;       ;       ;42,90;54,90
CPFL PAULISTA;63;7;689;ITA-1Y-SP138; ITAIPAVA - 138;  7,974;  7,901;       ;       ;48,40;54,30
CPFL PAULISTA;63;7;6610;ITATIB-SP138; ITATIBA - 138;  8,038;  8,085;       ;       ;228,6;242,9
CPFL PAULISTA;63;7;2125;JA+ANT-SP138; JAU - 138;  8,286;  8,308;       ;       ;104,0;120,0
CPFL PAULISTA;63;7;7800;JBONI2-SP138; J BONIFACIO 2 - 138;  7,579;  7,472;       ;       ;15,60;17,10
CPFL PAULISTA;63;7;3111;MAGUDO---138; MORRO AGUDO - 138;  7,582;  7,437;       ;       ;414,4;437,1
CPFL PAULISTA;63;7;596;MIRAS2-SP138; MIRASSOL II - 138;  7,598;  7,489;       ;       ;384,0;421,2
CPFL PAULISTA;63;7;2291;ORIEN1-SP138; AJINOMOTO VAL - 138;  7,319;  7,196;       ;       ; 6,50; 7,50
CPFL PAULISTA;63;7;3112;PCOLO-DEF138; P. COLOMBIA - 138;  7,385;  7,160;       ;       ;400,0;400,0
CPFL PAULISTA;63;7;2345;PENAP--SP138; PENAPOLIS - 138;  7,614;  7,519;       ;       ;29,50;31,50
CPFL PAULISTA;63;7;654;PENAPO-SP138; PENAPOLIS 1 - 138;  7,606;  7,509;       ;       ;17,10;18,00
CPFL PAULISTA;63;7;2314;PINHAL-SP138; PINHAL - 138;  8,313;  8,291;       ;       ;18,20;17,80
CPFL PAULISTA;63;7;577;PIRACI-SP138; PIRACICABA - 138;  8,156;  8,157;       ;       ;341,1;437,1
CPFL PAULISTA;63;7;661;PROMIS-SP138; PROMISSAO - 138;  7,650;  7,561;       ;       ;210,0;210,0
CPFL PAULISTA;63;7;2182;QAMPAR-SP138; QUIMICA AMPAR - 138;  8,465;  8,473;       ;       ;18,50;18,50
CPFL PAULISTA;63;7;564;RIBPRE-SP138; RIBEIRAOPRETO - 138;  7,829;  7,734;       ;       ;499,2;553,2
CPFL PAULISTA;63;7;568;SBARBA-SP138; SANTA BARBARA - 138;  8,293;  8,304;       ;       ;599,2;655,4
CPFL PAULISTA;63;7;2346;SCARL--SP138; SAO CARLOS - 138;  8,123;  8,092;       ;       ;37,73;41,72
CPFL PAULISTA;63;7;703;SCARLO-SP138; SAO CARLOS II - 138;  8,127;  8,098;       ;       ;108,0;110,0
CPFL PAULISTA;63;7;665;SJRPRE-SP138; S.J.RIO PRETO - 138;  7,590;  7,481;       ;       ;250,0;250,0
CPFL PAULISTA;63;7;571;SUMARE-SP138; SUMARE - 138;  8,306;  8,327;       ;       ;456,5;512,7
CPFL PAULISTA;63;7;2550;TECUMS-SP138; TECUMSEH 1 - 138;  8,124;  8,093;       ;       ; 8,40;12,00
CPFL PAULISTA;63;7;2281;TRIANO-SP138; TRIANON - 138;  7,549;  7,443;       ;       ; 0,00; 0,00
CPFL PAULISTA;63;7;4284;UNIVAL-SP138; UTE UNIVALEM - 138;  7,319;  7,196;       ;       ; 6,00; 6,00
CPFL PAULISTA;63;7;673;VALPAI-SP138; VALPARAISO - 138;  7,319;  7,192;       ;       ; 8,20; 8,30
CPFL PAULISTA;63;7;2348;VILAVE-SP138; VILA VENTURA - 138;  7,642;  7,543;       ;       ;26,00;28,00
CPFL PAULISTA;63;7;2121;VOLKS1-SP138; VW SAO CARLOS - 138;  8,124;  8,094;       ;       ; 8,50; 9,50
CPFL PIRATININGA;2937;42;576;B.JARD-SP088; BOM JARDIM - 88;  8,475;  8,494;       ;       ;393,8;449,2
CPFL PIRATININGA;2937;42;575;B.JARD-SP138; BOM JARDIM - 138;  8,519;  8,537;       ;       ;51,53;51,53
CPFL PIRATININGA;2937;42;473;BAIXAD-SP088; B. SANTISTA - 88;  8,862;  8,936;       ;       ;623,0;636,3
CPFL PIRATININGA;2937;42;3423;BOI2-Y-SP138; BOITUVA 2 - 138;  9,370;  9,613;       ;       ;34,20;36,50
CPFL PIRATININGA;2937;42;3472;EMBRAP-SP138; EMBRAPORT - 138;  8,853;  8,917;       ;       ; 3,60; 4,00
CPFL PIRATININGA;2937;42;418;M.NOBR-SP088; MANOEL DA NOBREGA - 88;  9,141;  9,230;       ;       ;180,0;180,0
CPFL PIRATININGA;2937;42;3066;MANAH--SP138; MANAH - 138;  8,903;  8,970;       ;       ; 9,30; 9,30
